Htno,Subcode,Subname,Internals,Grade,Credits
19B81A0125,R1932017,SOCIALLY RELEVANT PROJECT,19,S,1.0
19B81A0125,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0125,R193201A,PRE-STRESSED CONCRETE,19,C,3.0
19B81A0125,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,18,D,3.0
19B81A0126,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,2,F,0.0
19B81A0126,R1932012,WATER RESOURCES ENGINEERING-II,7,F,0.0
19B81A0126,R1932013,GEOTECHNICAL ENGINEERING-I,9,F,0.0
19B81A0126,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,9,ABSENT,0.0
19B81A0126,R1932015,CAD LAB,0,ABSENT,0.0
19B81A0126,R1932016,ENVIRONMENTAL ENGINEERING LAB,0,ABSENT,0.0
19B81A0126,R1932017,SOCIALLY RELEVANT PROJECT,0,ABSENT,0.0
19B81A0126,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0126,R193201A,PRE-STRESSED CONCRETE,8,ABSENT,0.0
19B81A0126,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,9,ABSENT,0.0
19B81A0127,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,4,F,0.0
19B81A0127,R1932012,WATER RESOURCES ENGINEERING-II,14,F,0.0
19B81A0127,R1932013,GEOTECHNICAL ENGINEERING-I,17,D,3.0
19B81A0127,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,21,F,0.0
19B81A0127,R1932015,CAD LAB,19,O,1.5
19B81A0127,R1932016,ENVIRONMENTAL ENGINEERING LAB,18,S,1.5
19B81A0127,R1932017,SOCIALLY RELEVANT PROJECT,17,S,1.0
19B81A0127,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0127,R193201A,PRE-STRESSED CONCRETE,14,F,0.0
19B81A0127,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,14,D,3.0
19B81A0128,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,20,B,3.0
19B81A0128,R1932012,WATER RESOURCES ENGINEERING-II,16,A,3.0
19B81A0128,R1932013,GEOTECHNICAL ENGINEERING-I,18,B,3.0
19B81A0128,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,23,C,3.0
19B81A0128,R1932015,CAD LAB,18,O,1.5
19B81A0128,R1932016,ENVIRONMENTAL ENGINEERING LAB,16,S,1.5
19B81A0128,R1932017,SOCIALLY RELEVANT PROJECT,19,O,1.0
19B81A0128,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0128,R193201A,PRE-STRESSED CONCRETE,18,C,3.0
19B81A0128,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,16,C,3.0
19B81A0129,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,19,B,3.0
19B81A0129,R1932012,WATER RESOURCES ENGINEERING-II,18,B,3.0
19B81A0129,R1932013,GEOTECHNICAL ENGINEERING-I,20,C,3.0
19B81A0129,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,25,B,3.0
19B81A0129,R1932015,CAD LAB,20,O,1.5
19B81A0129,R1932016,ENVIRONMENTAL ENGINEERING LAB,19,O,1.5
19B81A0129,R1932017,SOCIALLY RELEVANT PROJECT,19,O,1.0
19B81A0129,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0129,R193201A,PRE-STRESSED CONCRETE,18,B,3.0
19B81A0129,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,19,C,3.0
19B81A0130,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,23,S,3.0
19B81A0130,R1932012,WATER RESOURCES ENGINEERING-II,19,B,3.0
19B81A0130,R1932013,GEOTECHNICAL ENGINEERING-I,19,C,3.0
19B81A0130,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,25,C,3.0
19B81A0130,R1932015,CAD LAB,20,O,1.5
19B81A0130,R1932016,ENVIRONMENTAL ENGINEERING LAB,19,O,1.5
19B81A0130,R1932017,SOCIALLY RELEVANT PROJECT,19,O,1.0
19B81A0130,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0130,R193201A,PRE-STRESSED CONCRETE,21,B,3.0
19B81A0130,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,21,A,3.0
19B81A0131,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,21,S,3.0
19B81A0131,R1932012,WATER RESOURCES ENGINEERING-II,19,B,3.0
19B81A0131,R1932013,GEOTECHNICAL ENGINEERING-I,19,A,3.0
19B81A0131,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,25,A,3.0
19B81A0131,R1932015,CAD LAB,19,O,1.5
